Type                                  Module                      Label             Process   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsES"      ""                "HLT"     
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedHcalRecHits"        "hbhereco"        "HLT"     
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "HLT"     
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLoose"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLooseEM"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "HLT"     
